LP_city,to_location,legs_outbound,from_location,local_price,outbound_departure_dt,local_ccy,inbound_departure_dt,destination_city,difference_from_median,destination_country,legs_inbound,local_median,origin_city,origin_market,Landing_Page_Link
New York,BNA,1,EWR,156.6,12/14/19 7:00,USD,12/16/19 17:15,Nashville,-48,United States,1,298.6,New York,US,https://www.skyscanner.com/transport/flights/EWR/BNA/20191214/20191216?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=156&qp_prevProvider=DS_RDS_Standard&associateid=API_B2B_19161_00001&utm_medium=GSP&utm_source=Elude&utm_campaign=Elude_FlightDeals_Referral
New York,BNA,1,EWR,156.6,12/14/19 7:00,USD,12/16/19 17:15,Nashville,-48,United States,1,298.6,New York,US,https://www.skyscanner.com/transport/flights/EWR/BNA/20191214/20191216?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=156&qp_prevProvider=DS_RDS_Standard
New York,PWM,1,JFK,156.6,12/12/19 14:55,USD,12/16/19 5:45,Portland,-31,United States,1,226.3,New York,US,https://www.skyscanner.com/transport/flights/JFK/PWM/20191212/20191216?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=156&qp_prevProvider=DS_RDS_Standard
New York,ORF,1,JFK,157.2,11/20/19 15:30,USD,11/23/19 17:38,Norfolk,-53,United States,1,331.94,New York,US,https://www.skyscanner.com/transport/flights/JFK/ORF/20191120/20191123?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=157&qp_prevProvider=DS_RDS_Standard
New York,LAS,1,EWR,161.03,11/24/19 6:00,USD,11/28/19 22:02,Las Vegas,-61,United States,1,408.46,New York,US,https://www.skyscanner.com/transport/flights/EWR/LAS/20191124/20191128?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=161&qp_prevProvider=DS_RDS_Standard
New York,CHS,1,LGA,161.79,11/16/19 9:55,USD,11/19/19 18:45,Charleston,-54,United States,1,350.25,New York,US,https://www.skyscanner.com/transport/flights/LGA/CHS/20191116/20191119?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=161&qp_prevProvider=DS_RDS_Standard
New York,LAS,1,EWR,162.58,12/4/19 8:00,USD,12/8/19 22:20,Las Vegas,-49,United States,1,318.4,New York,US,https://www.skyscanner.com/transport/flights/EWR/LAS/20191204/20191208?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=162&qp_prevProvider=DS_RDS_Standard
New York,CHS,1,JFK,166.6,11/21/19 5:24,USD,11/26/19 17:12,Charleston,-48,United States,1,317.64,New York,US,https://www.skyscanner.com/transport/flights/JFK/CHS/20191121/20191126?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=166&qp_prevProvider=DS_RDS_Standard
New York,MIA,1,JFK,166.6,1/9/20 15:36,USD,1/13/20 19:59,Miami,-49,United States,1,328.71,New York,US,https://www.skyscanner.com/transport/flights/JFK/MIA/20200109/20200113?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=166&qp_prevProvider=DS_RDS_Standard
New York,MIA,1,JFK,166.6,1/9/20 15:36,USD,1/13/20 19:59,Miami,-35,United States,1,256.23,New York,US,https://www.skyscanner.com/transport/flights/JFK/MIA/20200109/20200113?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=166&qp_prevProvider=DS_RDS_Standard
New York,ATL,1,LGA,167.56,12/7/19 11:38,USD,12/9/19 15:33,Atlanta,-32,United States,1,246.4,New York,US,https://www.skyscanner.com/transport/flights/LGA/ATL/20191207/20191209?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=167&qp_prevProvider=DS_RDS_Standard
New York,SJU,1,EWR,169.39,11/17/19 12:30,USD,11/20/19 7:59,San Juan,-51,Puerto Rico,1,343.4,New York,US,https://www.skyscanner.com/transport/flights/EWR/SJU/20191117/20191120?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=169&qp_prevProvider=DS_RDS_Standard
New York,PWM,1,EWR,171.6,12/12/19 14:30,USD,12/15/19 19:30,Portland,-39,United States,1,280.18,New York,US,https://www.skyscanner.com/transport/flights/EWR/PWM/20191212/20191215?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=171&qp_prevProvider=DS_RDS_Standard
New York,IND,1,JFK,176.59,12/30/19 18:29,USD,1/2/20 6:46,Indianapolis,-49,United States,1,344.58,New York,US,https://www.skyscanner.com/transport/flights/JFK/IND/20191230/20200102?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=176&qp_prevProvider=DS_RDS_Standard
New York,DTW,1,EWR,176.6,12/6/19 14:15,USD,12/9/19 9:00,Detroit,-52,United States,1,364.85,New York,US,https://www.skyscanner.com/transport/flights/EWR/DTW/20191206/20191209?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=176&qp_prevProvider=DS_RDS_Standard
New York,IND,1,JFK,176.6,5/14/20 14:58,USD,5/16/20 12:45,Indianapolis,-34,United States,1,269.22,New York,US,https://www.skyscanner.com/transport/flights/JFK/IND/20200514/20200516?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=176&qp_prevProvider=DS_RDS_Standard
New York,DEN,1,LGA,176.6,12/5/19 18:15,USD,12/9/19 17:45,Denver,-48,United States,1,337.88,New York,US,https://www.skyscanner.com/transport/flights/LGA/DEN/20191205/20191209?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=176&qp_prevProvider=DS_RDS_Standard
New York,LAS,1,EWR,176.6,1/18/20 6:00,USD,1/20/20 22:18,Las Vegas,-45,United States,1,318.58,New York,US,https://www.skyscanner.com/transport/flights/EWR/LAS/20200118/20200120?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=176&qp_prevProvider=DS_RDS_Standard
New York,BNA,1,JFK,176.6,12/17/19 8:37,USD,12/20/19 11:27,Nashville,-54,United States,1,383.06,New York,US,https://www.skyscanner.com/transport/flights/JFK/BNA/20191217/20191220?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=176&qp_prevProvider=DS_RDS_Standard
New York,DTW,1,EWR,176.6,1/24/20 12:35,USD,1/27/20 17:45,Detroit,-52,United States,1,364.58,New York,US,https://www.skyscanner.com/transport/flights/EWR/DTW/20200124/20200127?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=176&qp_prevProvider=DS_RDS_Standard
